+----------+-------------------------------------------------------------------------------------------------+-------------+-----------------------------------------------------------+------------------+
|   bookid | title                                                                                           |   num_pages | authors                                                   |   wishlist_count |
|      415 | Gravity's Rainbow                                                                               |         776 | Thomas Pynchon                                            |                1 |
|      642 | Guidebook to Zen and the Art of Motorcycle Maintenance                                          |         408 | Ronald L. DiSanto, Thomas J. Steele                       |                1 |
|      835 | Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume I: Strategic Play      |         381 | Bill Robertie, Dan Harrington                             |                1 |
|        4 | Harry Potter and the Chamber of Secrets (Harry Potter  #2)                                      |         352 | J.K. Rowling                                              |                1 |
|        5 | Harry Potter and the Prisoner of Azkaban (Harry Potter  #3)                                     |         435 | J.K. Rowling, Mary GrandPré                               |                1 |
|       10 | Harry Potter Collection (Harry Potter  #1-6)                                                    |        3342 | J.K. Rowling                                              |                1 |
|       55 | Hatchet Jobs: Writings on Contemporary Fiction                                                  |         228 | Dale Peck                                                 |                1 |
|       76 | Heirs of General Practice                                                                       |         128 | John McPhee                                               |                1 |
|      570 | HTML  XHTML  and CSS (Visual Quickstart Guide)                                                  |         456 | Elizabeth Castro                                          |                1 |
|      231 | I am Charlotte Simmons                                                                          |         738 | Tom Wolfe                                                 |                1 |
|       80 | La Place de la Concorde Suisse                                                                  |         160 | John McPhee                                               |                1 |
|      670 | Letters of Ayn Rand                                                                             |         681 | Ayn Rand, Leonard Peikoff, Michael S. Berliner            |                1 |
|      394 | Lincoln at Gettysburg: The Words That Remade America                                            |         317 | Garry Wills                                               |                1 |
|      765 | Living to Tell the Tale                                                                         |         533 | Edith Grossman, Gabriel García Márquez                    |                1 |
|      650 | LOGO Lounge: 2 000 International Identities by Leading Designers                                |         191 | Bill Gardner, Catharine M. Fishel                         |                1 |
|      797 | Lonely Planet Londres                                                                           |         480 | Lonely Planet, Sarah Johnstone, Tom Masters               |                1 |
|      524 | Lord of the Flies                                                                               |           6 | William Golding                                           |                1 |
|       92 | Mapping the Big Picture: Integrating Curriculum & Assessment K-12                               |         108 | Heidi Hayes Jacobs                                        |                1 |
|      931 | Memoirs of a Geisha                                                                             |         497 | Arthur Golden                                             |                1 |
|      766 | Memoria de mis putas tristes                                                                    |         112 | Gabriel García Márquez                                    |                1 |
|      707 | Naked Pictures of Famous People                                                                 |         164 | Jon Stewart                                               |                1 |
|      829 | Odalisque (The Baroque Cycle  Vol. 1  Book 3)                                                   |         464 | Neal Stephenson                                           |                1 |
|      890 | Of Mice and Men                                                                                 |         103 | John Steinbeck                                            |                1 |
|      799 | Out to Eat London 2002 (Lonely Planet Out to Eat)                                               |         295 | Lonely Planet, Mark Honan                                 |                1 |
|      515 | Programming Ruby: The Pragmatic Programmers' Guide                                              |         828 | Andy Hunt, Chad Fowler, Dave Thomas                       |                1 |
|     1090 | Purpose Driven Life - For Commuters: What on Earth Am I Here For?                               |           5 | Rick Warren                                               |                1 |
|      444 | Pyramids of Montauk: Explorations in Consciousness                                              |         256 | Nina Helms, Peter Moon, Preston B. Nichols                |                1 |
|     1022 | Read My Lips: Sexual Subversion and the End of Gender                                           |         288 | Riki Anne Wilchins                                        |                1 |
|      700 | Rereading America: Cultural Contexts for Critical Thinking and Writing                          |         826 | Bonnie Lisle, Gary Colombo                                |                1 |
|      404 | Running Dog                                                                                     |         256 | Don DeLillo                                               |                1 |
|      676 | Sailing Alone Around the Room: New and Selected Poems                                           |         192 | Billy Collins                                             |                1 |
|      675 | Sailing from Byzantium: How a Lost Empire Shaped the World                                      |         368 | Colin Wells                                               |                1 |
|     1059 | Shibumi                                                                                         |         480 | Gisela Stege, Trevanian                                   |                1 |
|      350 | Stranger in a Strange Land                                                                      |         528 | Robert A. Heinlein                                        |                1 |
|      955 | The 5 Love Languages / The 5 Love Languages Journal                                             |         120 | Gary Chapman                                              |                1 |
|      289 | The Beloved: Reflections on the Path of the Heart                                               |         102 | John Walbridge, Kahlil Gibran, Robin Waterfield           |                1 |
|      446 | The Brooklyn Follies                                                                            |         306 | Paul Auster                                               |                1 |
|      230 | The Burnt Orange Heresy (Vintage Crime/Black Lizard)                                            |         144 | Charles Willeford                                         |                1 |
|       61 | The Changeling                                                                                  |         228 | Zilpha Keatley Snyder                                     |                1 |
|     1073 | The Crescent Obscured: The United States and the Muslim World  1776-1815                        |         284 | Robert J. Allison                                         |                1 |
|      411 | The Crying of Lot 49                                                                            |         152 | Thomas Pynchon                                            |                1 |
|      969 | The Da Vinci Code                                                                               |         467 | Dan Brown                                                 |                1 |
+----------+-------------------------------------------------------------------------------------------------+-------------+-----------------------------------------------------------+------------------+
